token_count,char_count,avg_word_length,modal_intensifying,modal_mitigating,modal_discourse,modal_particles_total,epistemic_verbs,epistemic_adverbs,hedging_total,positive_evaluation,negative_evaluation,negation_count,compound_count,compound_ratio,connective_causal,connective_contrast,connective_temporal,connective_additive,connectives_total,medical_diagnosis,medical_treatment,medical_symptoms,medical_professionals,temporal_expressions,intensifiers,has_question,doc_id,sent_id,topic,topic_prob,rating
6,44,6.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,6262,0,-1,0.0171452288479806,1.0
7,35,4.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6622,0,8,1.0,1.0
9,67,6.555555555555555,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5891,2,-1,0.0302774863857266,5.0
6,38,5.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,3969,0,-1,0.0965960674038151,6.0
29,198,5.862068965517241,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,2,0,0,0,0,0,0,0,2591,4,-1,0.0333638171203019,6.0
8,63,7.0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7147,0,-1,0.0086508505189507,4.0
6,38,5.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7821,0,29,1.0,2.0
6,45,6.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,919,1,-1,0.0894420650412219,1.0
17,118,6.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,5379,1,-1,0.0525313439865929,1.0
9,60,5.777777777777778,0,0,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1638,4,-1,0.1036119383359812,2.0
7,39,4.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6173,7,19,0.2948381302205171,1.0
19,126,5.684210526315789,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1,1,0,2,2,0,0,0,0,1965,1,4,0.1367835361258315,6.0
7,43,5.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4691,5,-1,0.098452544277895,6.0
25,162,5.52,1,0,0,1,0,0,0,0,0,2,0,0.0,0,0,0,2,2,0,0,0,1,0,0,0,3384,2,0,0.2059782332773619,4.0
15,96,5.466666666666667,0,1,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,5520,0,-1,0.0114684709511017,1.0
11,79,6.2727272727272725,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,682,3,-1,0.0593244342422905,6.0
10,60,5.1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,2261,0,-1,0.037280390779331,1.0
14,116,7.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,2,0,1,0,0,0,0,0,7447,0,-1,0.0130209641836981,2.0
14,106,6.642857142857143,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,3,3,0,0,0,0,0,1,0,4404,1,2,0.0939581489672359,1.0
14,84,5.071428571428571,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4365,0,-1,0.0123050501006987,6.0
6,42,6.166666666666667,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3122,3,9,1.0,2.0
18,123,5.888888888888889,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,5522,1,26,1.0,4.0
13,115,7.923076923076923,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3031,4,4,0.0876620446999985,6.0
