doc_id,sent_id,sentence,token_count,char_count,rating
6262,0,Als Kinder- und Jugend-Endokrinologe ist Hr.,6,44,1.0
6622,0,Am 01.08.17 wurde mir von Herrn Dr.,7,35,1.0
5891,2,Empathie scheint bei ihr nur bei Privatpatienten zu funktionieren!!,9,67,5.0
3969,0,Und ich muss das ausführlich erklären.,6,38,6.0
2591,4,"Gaigl mir erstmal seine Hand gereicht und dann zu verstehen gegeben, dass er nichts von „de Maßnahmen der Regierung beziehungsweise einer Physikerin (womit er die Bundeskanzlerin gemeint hat) hält“.",29,198,6.0
7147,0,"von drei Besuchen, verliefen alle 3 leider unzufriedenstellend.",8,63,4.0
7821,0,Leider ist die Praxis IMMER überfüllt.,6,38,2.0
919,1,Larsen und gehe jährlich zum Ganzkörpercheck.,6,45,1.0
5379,1,"Durch ihre Kompetenz und ihre ehrliche Meinung habe ich nicht das Gefühl,das sie mir überteuerte Matrealien empfiehlt.",17,118,1.0
1638,4,"Nicht bei der Sache, unfreundlich bei den gestellten Fragen.",9,60,2.0
6173,7,"Sperl, dass er mir endlich helfen kann.",7,39,1.0
1965,1,Zu guter Letzt wurde auch noch ein Medikament zur Behandlung der behaarten Kopfhaut statt ein Mittel gegen Ohrenschmerzen bzw.,19,126,6.0
4691,5,Hier hat jemand den falschen Beruf gewählt.,7,43,6.0
3384,2,"Das ist nicht schön in einer Schwangerschaft, man macht sich schon genug Sorgen und erwartet, dass die betreuende Frauenärztin diese weniger und nicht mehr macht.",25,162,4.0
5520,0,Ich bin heute zum ersten mal (trotz schlechter Kritiken auf anderen Internet-Seiten) zu Frau Dr.,15,96,1.0
682,3,Direkt zu einem anderen gegangen welcher sofort die Ursache herausgefunden hat.,11,79,6.0
2261,0,"Gerlach hat mir mein Implantat gesetzt, und es sitzt spitze.",10,60,1.0
7447,0,"Ausführliche Anamnese und Diagnostik, umfassende Aufklärung und gründliche Behandlung: damit fällt diese Praxis auf.",14,116,2.0
4404,1,Herr Stellwag ist sehr kompetent und gründlich und erklärt die Situation verständlich und nachvollziehbar.,14,106,1.0
4365,0,"Ich bin zu Frau Geuer gegangen, als sie ihre Praxis noch in Berlin-Mariendorf hatte.",14,84,6.0
