Topic,Count,Name,Representation,Representative_Docs
-1,7758,-1_fur_habe_da_hatte,"['fur', 'habe', 'da', 'hatte', 'behandlung', 'keine', 'was', 'wenn', 'dann', 'kann']","['Die werden ganz sicher in Ordnung sein. - Wenn man aber - trotz Termin - und das leider bei jedem meiner Besuche, zwischen 11/2 und 2/12 Stunden Wartezeit als Selbstverständlich in Kauf nehmen soll, dann darf man sicherlich fragen wer für diese Inkompetenz verantwortlich ist: Arzt oder Sprechstundenpersonal?', 'Ärztin selbst zwar freundlich aber unnahbar man hat nicht das Gefühl, dass sich Zeit genommen wird sondern es soll möglichst schnell gehen und ohne Nachfragen bitte.', 'Konnte insoweit auch keine Abzocke feststellen (nix mit Unterschreiben Sie doch doch mal hier, dass wir den höchsten Satz abrechnen können) Fazit: Nach meinen Erfahrungen kompetent, aber man muss erst nachfragen, wenn man wissen will, wo die Erkrankung herkommt und was man evtl. tun kann, um vorzubeugen.']"
0,532,0_dann_was_sagte_hatte,"['dann', 'was', 'sagte', 'hatte', 'da', 'mal', 'schon', 'ja', 'habe', 'weil']","['Und dann musste ich dem Doktor erst noch beibringen was ich habe und was man da machen kann und nun will mir die Internetseite sagen dass es dort eine ""Psychosomatische Grundversorgung"" gibt?', 'Nachdem ich wieder kam da mein Sohn unter starken Juckreiz litt und sich die Ekzeme am ganzen Körper ausbreiteten, fragte Sie mich weshalb ich denn schon wieder da wäre, sie hätte ja schließlich das letzte Mal schon gesagt das es Dellwarzen wären und dies halt dauere.', 'Nach einigem hin und her musste ich vor der Praxis warten bis sie dann raus kam und mir nochmals sehr Pampig einen Zettel in die Hand drückte und sagte: ""Sie haben nur eine leichte Hausstauballergie!"" Und dann verschwand sie wieder in der Praxis.']"
1,410,1_dr_frau dr_frau_seit,"['dr', 'frau dr', 'frau', 'seit', 'jahren', 'herr dr', 'jahre', 'herrn dr', 'herrn', 'habe']","['spannend war, dass Frau Dr.', 'Tja, meine Zufriedenheit mit Frau Dr.', 'Ich habe mich in der Praxis von Frau Dr.']"
2,383,2_nimmt_zeit_viel zeit_nimmt zeit,"['nimmt', 'zeit', 'viel zeit', 'nimmt zeit', 'viel', 'erklart', 'genommen', 'patienten', 'fur', 'zeit nimmt']","['Sperling nimmt sich sehr viel Zeit für ihre Patienten und geht auf die einzelnen Bedürfnisse ein.', 'Nimmt sich sehr viel Zeit.', 'Sie nimmt sich sehr viel Zeit für den einzelnen Patienten!']"
3,324,3_freundlich_kompetent_nett_praxisteam,"['freundlich', 'kompetent', 'nett', 'praxisteam', 'zuvorkommend', 'hilfsbereit', 'team', 'freundlich kompetent', 'immer freundlich', 'arzthelferinnen']","['Er ist kompetent, sehr freundlich und humorvoll.', 'Der Arzt ist sehr kompetent und freundlich.', 'Er ist kompetent und freundlich.']"
4,292,4_diagnose_mrt_verschrieben_wurden,"['diagnose', 'mrt', 'verschrieben', 'wurden', 'meiner', 'op', 'festgestellt', 'knie', 'ultraschall', 'wochen']","['Genaue abtastung mit Diktat an seine Krankenschwester, Röntgenaufnahme, zwei Spritzen, exakte Befragung, gemeinsame Betrachtung der Röntgenaufnahmen, MRT und KG verschrieben.', 'Der neue Orthopäde, zu dem ich ging, fasste sich an den Kopf und schickte mich sofort zum MRT, bei dem diverse Bänderrisse und Sehnenprobleme festgestellt wurden.', 'Nicht zu empfehlen.....auf meinen Untersuchungswunsch wurde nicht groß eingegangen.....stattdessen wurde eine gut abzurechnende Hautkrebsvorsorgeuntersuchung als dringend erforderlich durchgeführt.....für mein Anliegen bekam ich zwei Salben verschrieben......als diese nicht halfen, war ein Folgetermin erst wieder in 8 Wochen möglich.......dazu sei bemerkt, dass ich den ersten Termin innerhalb einer Woche bekam.......vielen dank!!!!!']"
5,227,5_aufgehoben_fuhle_gefuhlt_fuhlte,"['aufgehoben', 'fuhle', 'gefuhlt', 'fuhlte', 'fuhlt', 'betreut', 'wohl', 'beraten', 'handen', 'ernst genommen']","['Haubrich fühle ich mich gut aufgehoben.', 'Ich fühle mich gut aufgehoben.', 'Fühle mich rundrum gut aufgehoben.']"
6,176,6_unfreundlich_arrogant_extrem_wirkt,"['unfreundlich', 'arrogant', 'extrem', 'wirkt', 'personal', 'teilweise', 'gegenuber', 'außerst', 'sprechstundenhilfen', 'genervt']","['Prinzipiell ist man oberlehrerhaft, rechthaberisch und unfreundlich.', 'Er ist so unfreundlich und unmenschlich.', 'Die Empfangsdame ist sehr unprofessionell Und unfreundlich']"
7,174,7_wartezeit_minuten_stunden_gewartet,"['wartezeit', 'minuten', 'stunden', 'gewartet', 'trotz', 'warten', 'lange', 'stunde', 'wartezeiten', 'min']","['2 Stunden Wartezeit war bei mir die Regel mit Termin.', 'Die Wartezeit lag für meine Besuche durchschnittlich bei ~5 Minuten.', 'Wartezeit trotz Termin von bis zu 2 Stunden.']"
8,156,8_dr_herrn dr_herrn_frau dr,"['dr', 'herrn dr', 'herrn', 'frau dr', 'frau', 'fr', 'empfehlung', 'herr dr', 'habe', 'herr']","['Als ich die Praxis Dr.', 'ich war nicht bei Dr.', 'Dr Haffner und Frau Dr.']"
9,136,9_empfehlen_weiterempfehlen_kann_kann diese,"['empfehlen', 'weiterempfehlen', 'kann', 'kann diese', 'weiter', 'diese', 'diesen', 'ihn', 'diese arztin', 'fall']","['Rendant kann ich nur empfehlen.', 'Kann ich im Problemfall nicht empfehlen.', 'Hache kann ich nur wärmstens empfehlen.']"
