topic,modal_particles_total,hedging_total,positive_evaluation,negative_evaluation,compound_ratio,connectives_total,intensifiers,token_count
0,0.682,0.073,0.122,0.045,0.0,1.543,0.117,24.727
1,0.159,0.01,0.168,0.029,0.0,0.356,0.08,8.141
2,0.078,0.013,0.671,0.005,0.0,1.07,0.46,13.358
3,0.028,0.0,1.108,0.0,0.0,0.917,0.667,8.093
4,0.175,0.027,0.031,0.014,0.0,0.801,0.045,17.842
5,0.137,0.013,0.93,0.035,0.0,0.511,0.392,9.053
6,0.085,0.011,0.528,0.602,0.0,0.881,0.54,8.909
7,0.115,0.011,0.023,0.0,0.0,0.259,0.063,8.305
8,0.058,0.0,0.013,0.006,0.0,0.147,0.019,5.904
9,0.346,0.029,0.029,0.0,0.0,0.096,0.037,6.625
10,0.045,0.0,0.264,0.091,0.0,0.273,0.236,6.355
11,0.099,0.025,1.025,0.012,0.0,0.481,0.642,7.654
12,0.113,0.0,0.014,0.014,0.0,0.465,0.028,7.986
13,0.072,0.058,0.029,0.014,0.0,0.406,0.0,10.768
14,0.075,0.0,1.418,0.0,0.0,0.612,0.507,10.015
15,0.25,0.033,0.117,0.0,0.0,0.517,0.067,11.783
16,0.576,0.017,0.102,0.068,0.0,1.237,0.169,23.695
17,0.054,0.0,0.018,0.0,0.0,0.161,0.0,6.839
18,0.255,0.0,0.018,0.0,0.0,0.109,0.0,8.982
19,0.218,0.036,0.255,0.055,0.0,0.527,0.236,12.927
20,0.556,0.019,0.167,0.037,0.0,0.907,0.13,16.574
21,0.333,0.0,0.074,0.0,0.0,0.148,0.019,9.648
22,0.24,0.0,0.36,0.36,0.0,0.4,0.04,12.22
23,0.083,0.0,0.0,0.0,0.0,0.708,0.062,13.667
24,0.021,0.0,0.271,0.0,0.0,0.604,0.104,7.792
25,0.25,0.0,0.025,0.0,0.0,0.2,0.025,6.075
26,0.256,0.051,0.333,0.103,0.0,0.641,0.051,15.769
27,0.432,0.081,0.784,0.081,0.0,1.0,0.486,14.405
28,0.382,0.029,0.088,0.029,0.0,0.794,0.0,11.588
29,0.242,0.0,0.03,0.061,0.0,0.303,0.03,8.364
30,0.061,0.0,1.212,0.03,0.0,0.697,0.545,7.879
31,0.219,0.125,0.125,0.031,0.0,0.469,0.031,15.906
32,0.033,0.0,0.067,0.0,0.0,0.167,0.0,7.867
33,0.069,0.0,0.069,0.0,0.0,0.414,0.069,11.345
34,0.429,0.0,0.071,0.143,0.0,0.179,0.0,8.107
35,0.0,0.0,0.0,0.038,0.0,0.0,0.0,7.269
36,0.2,0.04,0.52,0.44,0.0,0.96,0.56,18.16
37,0.333,0.0,0.0,0.0,0.0,0.833,0.0,15.042
38,0.0,0.0,1.273,0.0,0.0,0.455,0.591,7.318
39,0.0,0.0,0.0,0.0,0.0,0.091,0.273,6.227
40,0.524,0.0,0.048,0.0,0.0,1.0,0.143,16.667
41,0.3,0.0,0.5,0.0,0.0,2.0,0.65,23.25
